epoch,out_0,out_1,step,train_loss
24,-0.16598865389823914,-0.183002769947052,49,1.3994953632354736
49,-0.14105822145938873,-0.1558527797460556,99,1.3359956741333008
74,-0.12098697572946548,-0.13394784927368164,149,1.2858376502990723
99,-0.10459162294864655,-0.11604587733745575,199,1.245558261871338
124,-0.09100461006164551,-0.10122111439704895,249,1.2126878499984741
149,-0.07958849519491196,-0.08878560364246368,299,1.1854541301727295
174,-0.06987061351537704,-0.07822521775960922,349,1.1625696420669556
199,-0.06149647757411003,-0.06915216892957687,399,1.1430861949920654
224,-0.054196491837501526,-0.06127075478434563,449,1.1262954473495483
249,-0.04776255041360855,-0.054352302104234695,499,1.1116586923599243
274,-0.04203178733587265,-0.04821775108575821,549,1.0987604856491089
299,-0.03687437251210213,-0.04272468760609627,599,1.0872747898101807
324,-0.032185230404138565,-0.03775811195373535,649,1.0769418478012085
349,-0.02787773683667183,-0.033223796635866165,699,1.0675512552261353
374,-0.023878997191786766,-0.029042884707450867,749,1.0589290857315063
399,-0.020126234740018845,-0.02514823153614998,799,1.0509289503097534
424,-0.016564175486564636,-0.021481338888406754,849,1.043424129486084
449,-0.013142556883394718,-0.017989907413721085,899,1.0363032817840576
474,-0.009814415127038956,-0.014625907875597477,949,1.029465675354004
499,-0.006534060928970575,-0.01134355366230011,999,1.0228158235549927
524,-0.003255612915381789,-0.008097910322248936,1049,1.016261339187622
549,6.888573261676356e-05,-0.004843031521886587,1099,1.009709358215332
574,0.0034914365969598293,-0.0015302017563953996,1149,1.0030626058578491
599,0.007070282939821482,0.0018940811278298497,1199,0.9962154626846313
624,0.010872949846088886,0.0054907784797251225,1249,0.9890485405921936
649,0.014979788102209568,0.009331378154456615,1299,0.9814242124557495
674,0.01948895864188671,0.01350225880742073,1349,0.9731777310371399
699,0.02452261745929718,0.018110061064362526,1399,0.964107871055603
724,0.030235208570957184,0.023288799449801445,1449,0.9539647698402405
749,0.03682403266429901,0.029209159314632416,1499,0.9424348473548889
774,0.04454218968749046,0.036089710891246796,1549,0.9291229844093323
799,0.05371316894888878,0.044209957122802734,1599,0.9135345816612244
824,0.0647444948554039,0.053922731429338455,1649,0.8950622081756592
849,0.07813429832458496,0.06566150486469269,1699,0.8729884028434753
874,0.09445808082818985,0.07993195950984955,1749,0.8465251326560974
899,0.11431290954351425,0.09726997464895248,1799,0.814921498298645
924,0.1381872147321701,0.11813979595899582,1849,0.7776773571968079
949,0.16623573005199432,0.1427537500858307,1899,0.7348711490631104
974,0.19799832999706268,0.1708373725414276,1949,0.6875105500221252
999,0.23223097622394562,0.20146314799785614,1999,0.6376610398292542
1024,0.2670702040195465,0.23313415050506592,2049,0.5880831480026245
1049,0.300550252199173,0.26416605710983276,2099,0.5414515733718872
1074,0.33115851879119873,0.2931537330150604,2149,0.4996315538883209
1099,0.3580946922302246,0.3192407786846161,2199,0.46343302726745605
1124,0.3811945915222168,0.34211623668670654,2249,0.4328109920024872
1149,0.4007013440132141,0.36185622215270996,2299,0.40722745656967163
1174,0.41704660654067993,0.37874549627304077,2349,0.38595712184906006
1199,0.4307073950767517,0.39314818382263184,2399,0.3682691156864166
1224,0.44213196635246277,0.40543079376220703,2449,0.3535125255584717
1249,0.45171046257019043,0.41592806577682495,2499,0.3411400020122528
1274,0.459769606590271,0.424929678440094,2549,0.330705851316452
1299,0.4665772020816803,0.4326797127723694,2599,0.32185226678848267
1324,0.47235107421875,0.43938109278678894,2649,0.3142935037612915
1349,0.47726741433143616,0.4452008306980133,2699,0.30780211091041565
1374,0.4814693331718445,0.4502769410610199,2749,0.30219537019729614
1399,0.485073059797287,0.4547228217124939,2799,0.2973271906375885
1424,0.48817360401153564,0.4586324691772461,2849,0.29307878017425537
1449,0.49084851145744324,0.46208375692367554,2899,0.2893538475036621
1474,0.4931621849536896,0.46514156460762024,2949,0.2860735356807709
1499,0.4951675832271576,0.4678598940372467,2999,0.2831731140613556
1524,0.4969092011451721,0.47028467059135437,3049,0.2805982828140259
1549,0.49842390418052673,0.4724542498588562,3099,0.27830448746681213
1574,0.4997430443763733,0.4744012951850891,3149,0.27625396847724915
1599,0.5008929967880249,0.4761536121368408,3199,0.2744150161743164
1624,0.5018958449363708,0.47773483395576477,3249,0.27276089787483215
1649,0.5027710795402527,0.4791657030582428,3299,0.271268367767334
1674,0.5035347938537598,0.480463445186615,3349,0.2699182331562042
1699,0.5042009353637695,0.4816434383392334,3399,0.2686935067176819
1724,0.5047816634178162,0.4827187657356262,3449,0.2675798535346985
1749,0.5052875280380249,0.4837009906768799,3499,0.26656463742256165
1774,0.5057271718978882,0.48460009694099426,3549,0.265637069940567
1799,0.506108820438385,0.48542484641075134,3599,0.2647875249385834
1824,0.5064390301704407,0.48618283867836,3649,0.2640080749988556
1849,0.5067239999771118,0.48688095808029175,3699,0.2632911205291748
1874,0.5069689154624939,0.48752516508102417,3749,0.262630432844162
1899,0.5071782469749451,0.4881207346916199,3799,0.2620203495025635
1924,0.5073562264442444,0.4886723756790161,3849,0.2614559233188629
1949,0.5075061321258545,0.48918411135673523,3899,0.2609328031539917
1974,0.5076313614845276,0.4896599054336548,3949,0.2604469656944275
1999,0.5077345371246338,0.4901026785373688,3999,0.2599952816963196
